"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-01-12 - 2015-01-12","1646957","0.007695572330544891","11842184","0.05533379652511961","68126786","0.3183292637941082","126608070","0.5915889487798957","5789585","0.027052418570331672"
"2015-01-13 - 2015-01-13","1599755","0.007716104575306522","11395556","0.05496423001632231","66539593","0.320940680283127","122152573","0.5891789851638306","5639288","0.02719999996141357"
"2015-01-14 - 2015-01-14","1599309","0.007583711519797821","11618727","0.05509446504414468","67882385","0.32188928163091113","124086088","0.5883997995460828","5700864","0.02703274225906356"
"2015-01-15 - 2015-01-15","1584225","0.007644325096676483","11227084","0.054173794747396996","67026477","0.3234213449938671","121791677","0.5876786271251976","5612508","0.027081908036861897"
"2015-01-16 - 2015-01-16","1516176","0.007682925422164356","10840355","0.05493137934829894","63931912","0.323962463455677","115551282","0.5855335277972231","5503854","0.027889703976636603"
"2015-01-17 - 2015-01-17","1179918","0.006836121009465823","9272281","0.05372105091181826","57888779","0.3353916952993547","99234001","0.5749345624776065","5025535","0.02911657030175472"
"2015-01-18 - 2015-01-18","1274494","0.006752042589913062","10060059","0.05329640376889824","63422298","0.3360000574707751","108770011","0.5762441775146154","5229945","0.0277073186557982"
"2015-01-19 - 2015-01-19","1660901","0.007739180537532244","11593760","0.054022606855447644","69334605","0.32307345566863155","126293297","0.5884797625886067","5726851","0.026684994349781877"
"2015-01-20 - 2015-01-20","1658785","0.007742112728346318","11725956","0.05472901744326652","68713844","0.3207108372971803","126454130","0.590204354045256","5702109","0.026613678485950917"
"2015-01-21 - 2015-01-21","1653763","0.007844946872136705","11732158","0.05565377639088166","67603229","0.3206890829519656","123998099","0.5882091320829814","5818895","0.027603061702034647"
"2015-01-22 - 2015-01-22","1610439","0.007671303979248234","11567068","0.05509956898500032","66848682","0.3184327753079128","124325418","0.5922224150216805","5578674","0.026573936706158173"
"2015-01-23 - 2015-01-23","1533079","0.007683628249836863","11103702","0.05565056879976184","63437220","0.31794057297968076","117817521","0.590488835005468","5633878","0.028236394965252543"
"2015-01-24 - 2015-01-24","1181225","0.006695943244454372","9696519","0.05496610797500346","58445342","0.3313057994325597","102050510","0.5784879451650814","5035456","0.028544204182901"
"2015-01-25 - 2015-01-25","1259842","0.006585871104068015","10465590","0.0547092625646892","62958999","0.32912051848973684","111368659","0.5821838240088076","5241574","0.02740052383269823"
"2015-01-26 - 2015-01-26","1685841","0.0076792033559151904","12189184","0.055523161839501914","69256147","0.3154698672414277","130491230","0.5944028477973314","5910917","0.026924919765823795"
"2015-01-27 - 2015-01-27","1658247","0.007668117485289072","12015382","0.055561904111165336","68393934","0.31626936228023134","128404226","0.5937708258031582","5780375","0.026729790320156058"
"2015-01-28 - 2015-01-28","1625302","0.007638434362473356","11779711","0.05536112629062499","67350543","0.3165274527333624","126301558","0.5935796305308931","5722354","0.026893356082646095"
"2015-01-29 - 2015-01-29","1588554","0.007574904496862167","11575371","0.05519631680178824","66547125","0.3173251374619615","124361449","0.593008546934127","5640244","0.026895094305261172"
"2015-01-30 - 2015-01-30","1494990","0.007517762794572368","11053538","0.05558423583086968","63228293","0.31795216602099047","117567557","0.5912046273643076","5516645","0.02774120798925992"
"2015-01-31 - 2015-01-31","1173782","0.006753429369860453","9480303","0.05454552609886347","57279113","0.32955901863698345","100875949","0.5803961865909898","4996180","0.028745839303302826"
"2015-02-01 - 2015-02-01","1280973","0.006761444516528158","10238718","0.05404370246474996","62270441","0.3286861876411448","110401452","0.5827392866533071","5260980","0.02776937872427"
"2015-02-02 - 2015-02-02","1657198","0.007661070963815806","11934215","0.05517075691162736","68905174","0.3185421583830513","128047549","0.591951812415705","5770007","0.02667420132580051"
"2015-02-03 - 2015-02-03","1646213","0.007682387967860768","11789219","0.055016789562514413","68233571","0.31842584456238254","126892621","0.5921702384689688","5722399","0.02670473943827347"
"2015-02-04 - 2015-02-04","1615479","0.007611353930042593","11738339","0.05530536310272201","67414452","0.31762421806279606","125779793","0.5926134117314392","5697881","0.026845653173000094"
"2015-02-05 - 2015-02-05","1617396","0.007696317318758202","11626836","0.05532585666661804","66964304","0.3186470923718058","124317739","0.5915612303323132","5625663","0.026769503310504802"
"2015-02-06 - 2015-02-06","1515711","0.007644478035453709","11031464","0.05563711304259078","63452076","0.3200201102228192","116702380","0.5885876533159502","5573646","0.028110645383186125"
